SAMPLES	M1M2M3_TP	M1M2M3_FP	M1M2_TP	M1M2_FP	M1M3_TP	M1M3_FP	M1_TP	M1_FP	TP_rem_per	FP_rem_per
M1-2.M2-11.M3-4	35	22	0	9	3	0	101	7	0.0	29.0322580645
M1-2.M2-11.M3-8	35	27	0	4	4	0	100	7	0.0	12.9032258065
M1-2.M2-11.M3-9	35	30	0	1	4	1	100	6	0.0	3.22580645161
M1-2.M2-11.M3-1	35	23	0	8	4	2	100	5	0.0	25.8064516129
M1-2.M2-11.M3-6	35	21	0	10	3	0	101	7	0.0	32.2580645161
M1-2.M2-11.M3-14	35	30	0	1	2	1	102	6	0.0	3.22580645161
M1-2.M2-11.M3-16	34	30	1	1	2	1	102	6	2.85714285714	3.22580645161
M1-2.M2-11.M3-2	35	29	0	2	3	1	101	6	0.0	6.45161290323
M1-2.M2-11.M3-18	34	31	1	0	2	2	102	5	2.85714285714	0.0
M1-2.M2-11.M3-3	35	28	0	3	4	0	100	7	0.0	9.67741935484
M1-2.M2-11.M3-7	35	23	0	8	3	1	101	6	0.0	25.8064516129
M1-2.M2-11.M3-10	35	31	0	0	3	1	101	6	0.0	0.0
M1-2.M2-11.M3-5	35	29	0	2	2	0	102	7	0.0	6.45161290323
M1-2.M2-7.M3-17	37	31	1	2	0	0	101	5	2.63157894737	6.06060606061
M1-2.M2-7.M3-15	37	32	1	1	0	1	101	4	2.63157894737	3.0303030303
M1-2.M2-7.M3-11	38	25	0	8	0	0	101	5	0.0	24.2424242424
M1-2.M2-7.M3-12	38	32	0	1	0	1	101	4	0.0	3.0303030303
M1-2.M2-7.M3-13	37	32	1	1	0	1	101	4	2.63157894737	3.0303030303
M1-2.M2-7.M3-4	37	22	1	11	1	0	100	5	2.63157894737	33.3333333333
M1-2.M2-7.M3-8	38	27	0	6	1	0	100	5	0.0	18.1818181818
M1-2.M2-7.M3-9	38	31	0	2	1	0	100	5	0.0	6.06060606061
M1-2.M2-7.M3-1	38	24	0	9	1	1	100	4	0.0	27.2727272727
M1-2.M2-7.M3-6	37	21	1	12	1	0	100	5	2.63157894737	36.3636363636
M1-2.M2-7.M3-14	37	31	1	2	0	0	101	5	2.63157894737	6.06060606061
M1-2.M2-7.M3-16	36	31	2	2	0	0	101	5	5.26315789474	6.06060606061
M1-2.M2-7.M3-2	38	29	0	4	0	1	101	4	0.0	12.1212121212
M1-2.M2-7.M3-18	36	32	2	1	0	1	101	4	5.26315789474	3.0303030303
M1-2.M2-7.M3-3	38	28	0	5	1	0	100	5	0.0	15.1515151515
M1-2.M2-7.M3-7	38	24	0	9	0	0	101	5	0.0	27.2727272727
M1-2.M2-7.M3-10	38	32	0	1	0	0	101	5	0.0	3.0303030303
M1-2.M2-7.M3-5	37	29	1	4	0	0	101	5	2.63157894737	12.1212121212
M1-2.M2-2.M3-17	36	27	1	0	1	4	101	7	2.7027027027	0.0
M1-2.M2-2.M3-15	36	27	1	0	1	6	101	5	2.7027027027	0.0
M1-2.M2-2.M3-11	37	24	0	3	1	1	101	10	0.0	11.1111111111
M1-2.M2-2.M3-12	37	27	0	0	1	6	101	5	0.0	0.0
M1-2.M2-2.M3-13	36	27	1	0	1	6	101	5	2.7027027027	0.0
M1-2.M2-2.M3-4	37	22	0	5	1	0	101	11	0.0	18.5185185185
M1-2.M2-2.M3-8	37	24	0	3	2	3	100	8	0.0	11.1111111111
M1-2.M2-2.M3-9	37	27	0	0	2	4	100	7	0.0	0.0
M1-2.M2-2.M3-1	37	24	0	3	2	1	100	10	0.0	11.1111111111
M1-2.M2-2.M3-6	36	21	1	6	2	0	100	11	2.7027027027	22.2222222222
M1-2.M2-2.M3-14	36	27	1	0	1	4	101	7	2.7027027027	0.0
M1-2.M2-2.M3-16	35	26	2	1	1	5	101	6	5.40540540541	3.7037037037
